name,categ,X,Y,color
Hallux valgus,Болезни ОДС и травмы,13.131045,74.29052,#29AF7F
HELLP-синдром,Женские болезни,22.98508,-21.170393,#3D4C89
Абдоминальная мигрень,Нервные болезни,59.817516,7.058116,#64CB5D
Абиотрофия сетчатки,Глазные болезни,13.886589,40.355267,#345E8D
Абсанс,Нервные болезни,55.34003,11.125323,#64CB5D
Абсцедирующая пневмония,Болезни органов дыхания,-8.268715,-3.87348,#A5DA35
Абсцесс брюшной полости,Болезни органов пищеварения,-16.36009,-42.4702,#22A784
Абсцесс головного мозга,Нервные болезни,29.90647,32.95222,#64CB5D
Абсцесс дугласова пространства,Болезни органов пищеварения,-15.94549,-43.26927,#22A784
Абсцесс кишечника,Болезни органов пищеварения,-14.428524,-40.243896,#22A784
Абсцесс кожи,Кожные болезни,-37.59937,15.125109,#404387
Абсцесс легкого,Болезни органов дыхания,-6.641555,-5.5197988,#A5DA35
Абсцесс молочной железы,Болезни молочных желез,-55.328648,-32.116825,#462F7C
Абсцесс мошонки,Мужские болезни,-12.760515,-41.28554,#48196B
Абсцесс мягких тканей,Болезни ОДС и травмы,-16.392246,-40.099392,#29AF7F
Абсцесс носовой перегородки,"Болезни уха, горла, носа",-25.019588,25.998825,#208F8C
Абсцесс околочелюстной,Болезни зубов,-29.602907,18.119585,#38568B
Абсцесс печени,Болезни органов пищеварения,-14.527056,-38.400894,#22A784
Абсцесс поджелудочной железы,Болезни органов пищеварения,-14.8017845,-38.697475,#22A784
Абсцесс полости рта,Болезни зубов,-29.32622,18.399542,#38568B
Абсцесс предстательной железы,Мужские болезни,-21.061785,-47.2856,#48196B
Абсцесс селезенки,Болезни органов пищеварения,-15.3122,-40.894764,#22A784
Абсцесс слюнной железы,Болезни зубов,-57.80301,-32.231014,#38568B
Абсцесс языкa,Болезни зубов,-28.958712,18.489258,#38568B
Абузусная головная боль,Нервные болезни,66.376625,6.533991,#64CB5D
Абулия,Психические расстройства,73.04802,18.833675,#42BE71
Агалактия,Болезни молочных желез,41.3959,-35.744137,#462F7C
Агаммаглобулинемия,Аллергические болезни,24.316305,-12.0787525,#E7E419
Агнозия,Нервные болезни,62.986473,27.970995,#64CB5D
Агорафобия,Психические расстройства,83.71727,13.357423,#42BE71
Агранулоцитарная ангина,"Болезни уха, горла, носа",-24.23146,12.644789,#208F8C
Агранулоцитоз,Болезни крови,19.884907,-13.728328,#1E988A
Агрессивное поведение детей,Детские болезни,85.403435,24.370195,#23888D
Адгезивный средний отит,"Болезни уха, горла, носа",-19.416498,26.964842,#208F8C
Аденовирусная инфекция,Инфекционные болезни,-19.882473,-0.104560584,#482374
Аденовирусный конъюнктивит,Глазные болезни,-15.344921,38.74615,#345E8D
Аденоз молочной железы,Болезни молочных желез,-50.978413,-39.048733,#462F7C
Аденоидит,"Болезни уха, горла, носа",-22.505507,18.011745,#208F8C
Аденоидит у детей,Детские болезни,-22.175594,15.857894,#23888D
Аденоиды,"Болезни уха, горла, носа",-22.40056,16.11072,#208F8C
Аденоиды у детей,Детские болезни,-22.161793,15.796133,#23888D
Аденокарцинома желудка,Онкологические болезни,-35.25899,-41.34894,#FDE724
Аденокарцинома легкого,Онкологические болезни,-40.624825,-25.878868,#FDE724
Аденокарцинома матки,Женские болезни,-28.669361,-78.40241,#3D4C89
Аденокарцинома почки,Онкологические болезни,-28.386633,-36.997932,#FDE724
Аденокарцинома толстой кишки,Онкологические болезни,-36.77577,-44.398754,#FDE724
Аденома бронха,Онкологические болезни,-39.466805,-23.591059,#FDE724
Аденома гипофиза,Нервные болезни,-20.084558,-30.477896,#64CB5D
Аденома молочной железы,Онкологические болезни,-50.585674,-36.006065,#FDE724
Аденома паращитовидных желез,Онкологические болезни,-31.949017,-30.675737,#FDE724
Аденома предстательной железы,Онкологические болезни,-18.577135,-51.026573,#FDE724
Аденома щитовидной железы,Онкологические болезни,-32.26001,-29.69878,#FDE724
Аденомиоз,Женские болезни,-30.438677,-76.48762,#3D4C89
Аденофлегмона,Болезни вен и лимфоузлов,-28.890713,15.557145,#53C567
Адентия,Болезни зубов,-43.43789,53.43549,#38568B
Адипозогенитальная дистрофия,Эндокринные болезни,36.09317,-36.659824,#440154
Аднексит,Женские болезни,-28.546892,-65.78504,#3D4C89
Адреногенитальный синдром,Женские болезни,37.573368,-40.56802,#3D4C89
Азиатский разрез глаз,Эстетические проблемы,-22.474686,47.53452,#2D6F8E
Азооспермия,Мужские болезни,42.836777,-44.360313,#48196B
Акалькулия,Нервные болезни,63.076565,28.108152,#64CB5D
Акантамебиаз,Инфекционные болезни,-7.1137877,39.27694,#482374
Акантамёбный кератит,Глазные болезни,-6.775125,39.88058,#345E8D
Акне,Кожные болезни,-64.046104,20.688917,#404387
Акрогерия семейная ,Кожные болезни,-58.320328,15.527688,#404387
Акродерматит,Кожные болезни,-56.65231,9.384207,#404387
Акродерматит Аллопо,Кожные болезни,-62.817535,9.3438,#404387
Акромегалия,Эндокринные болезни,33.13434,-37.082764,#440154
Актинический дерматит,Кожные болезни,-58.825634,-0.81045425,#404387
Актинический кератоз,Кожные болезни,-65.997856,14.572669,#404387
Актинический хейлит,Болезни зубов,-51.098827,21.969957,#38568B
Актиномикоз,Кожные болезни,-29.260174,6.614032,#404387
Актиномикоз молочных желез,Болезни молочных желез,-53.549557,-31.881966,#462F7C
Акустико-гностическая афазия,Нарушения речи,64.36783,28.48107,#8DD644
Акустико-мнестическая афазия,Нарушения речи,64.82706,28.493572,#8DD644
Акустическая травма,"Болезни уха, горла, носа",56.395275,28.212786,#208F8C
Акушерские параличи,Детские болезни,22.700848,71.28599,#23888D
Акушерский перитонит,Женские болезни,-7.392152,-42.724,#3D4C89
Алалия,Нарушения речи,68.62864,29.618582,#8DD644
Алиментарная дистрофия,Болезни органов пищеварения,35.160763,-19.297161,#22A784
Алкаптонурия,Ревматические болезни,42.28823,17.921106,#BADE27
Алкоголизм,Наркологические проблемы,83.530754,2.8881798,#29788E
Алкогольная болезнь печени,Болезни органов пищеварения,13.055258,-27.458136,#22A784
Алкогольная депрессия,Наркологические проблемы,75.22432,10.278967,#29788E
Алкогольная нефропатия,Урологические болезни,20.450783,-22.443827,#30678D
Алкогольная полиневропатия,Наркологические проблемы,63.538467,7.888773,#29788E
Алкогольная энцефалопатия,Наркологические проблемы,77.251976,6.080247,#29788E
Алкогольная эпилепсия,Наркологические проблемы,76.23738,6.6161246,#29788E
Алкогольный абстинентный синдром,Наркологические проблемы,77.38028,5.895142,#29788E
Алкогольный бред ревности,Наркологические проблемы,84.14742,16.209002,#29788E
Алкогольный галлюциноз,Наркологические проблемы,77.23547,8.817456,#29788E
Алкогольный гепатит,Болезни органов пищеварения,13.0603485,-27.024374,#22A784
Алкогольный делирий,Наркологические проблемы,77.27365,7.7491965,#29788E
Алкогольный панкреатит,Болезни органов пищеварения,3.6927223,-35.34838,#22A784
Алкогольный цирроз печени,Болезни органов пищеварения,12.231414,-28.687805,#22A784
Аллергическая крапивница,Аллергические болезни,-46.323833,1.5836626,#E7E419
Аллергическая риносинусопатия,Аллергические болезни,-20.66034,11.596487,#E7E419
Аллергическая энтеропатия,Аллергические болезни,-41.2564,-3.8180444,#E7E419
Аллергический  риноконъюнктивит ,Аллергические болезни,-42.603928,0.93635374,#E7E419
Аллергический альвеолит,Аллергические болезни,-9.0605755,5.701683,#E7E419
Аллергический бронхолёгочный аспергиллёз,Аллергические болезни,-9.661521,5.6038322,#E7E419
Аллергический васкулит,Аллергические болезни,12.208067,-9.002712,#E7E419
Аллергический гастрит,Аллергические болезни,-41.484303,-3.8137405,#E7E419
Аллергический кератит,Аллергические болезни,-12.266654,41.360096,#E7E419
Аллергический контактный дерматит,Аллергические болезни,-52.929893,-1.0927169,#E7E419
Аллергический конъюнктивит,Аллергические болезни,-41.399284,4.0614157,#E7E419
Аллергический конъюнктивит у детей,Аллергические болезни,-41.43444,3.9343708,#E7E419
Аллергический отит,Аллергические болезни,-41.04999,1.7753086,#E7E419
Аллергический ринит,Аллергические болезни,-42.19153,1.549917,#E7E419
Аллергический стоматит,Болезни зубов,-47.811882,31.80377,#38568B
Аллергический субсепсис,Аллергические болезни,15.38822,-19.153214,#E7E419
Аллергический хейлит,Аллергические болезни,-49.156902,0.2602087,#E7E419
Аллергия к протезным материалам,Аллергические болезни,-45.428356,31.99653,#E7E419
Аллергия на алкоголь,Аллергические болезни,-42.752792,-4.467543,#E7E419
Аллергия на домашних животных,Аллергические болезни,-43.60717,-0.6436372,#E7E419
Аллергия на инсулин,Аллергические болезни,-47.018738,-3.741319,#E7E419
Аллергия на косметику,Аллергические болезни,-53.765373,-1.4095683,#E7E419
Аллергия на латекс,Аллергические болезни,-45.24043,-0.71287435,#E7E419
Аллергия на местные анестетики,Аллергические болезни,-46.420944,-3.925521,#E7E419
Аллергия на металл,Аллергические болезни,-45.20437,-0.61693156,#E7E419
Аллергия на пенициллин,Аллергические болезни,-45.66858,-4.5191007,#E7E419
Аллергия на плесень,Аллергические болезни,-42.01175,-0.5557846,#E7E419
Аллергия на птиц,Аллергические болезни,-43.142746,-0.52927846,#E7E419
Аллергия на пыль,Аллергические болезни,-42.026665,-0.27234954,#E7E419
Аллергия на салицилаты,Аллергические болезни,-45.375484,-2.1725621,#E7E419
