name,categ,X,Y,Z,color
Hallux valgus,Болезни ОДС и травмы,-14.711287,5.1732807,0.087059595,#30678D
HELLP-синдром,Женские болезни,7.911613,-1.0223176,-8.712523,#48196B
Абдоминальная мигрень,Нервные болезни,-1.9378357,-2.5801997,-12.138154,#440154
Абиотрофия сетчатки,Глазные болезни,-3.1917813,-11.44012,-2.8638234,#E7E419
Абсанс,Нервные болезни,-2.3489873,-4.4506764,-10.594405,#440154
Абсцедирующая пневмония,Болезни органов дыхания,7.180112,-4.855935,1.8455081,#1E988A
Абсцесс брюшной полости,Болезни органов пищеварения,6.954545,2.939109,4.3504877,#404387
Абсцесс головного мозга,Нервные болезни,-7.237324,6.475526,-5.9405932,#440154
Абсцесс дугласова пространства,Болезни органов пищеварения,7.1183724,3.268588,4.9524527,#404387
Абсцесс кишечника,Болезни органов пищеварения,7.6241074,1.4282593,5.126028,#404387
Абсцесс кожи,Кожные болезни,1.1940446,-2.1862435,8.240985,#42BE71
Абсцесс легкого,Болезни органов дыхания,6.7189417,-3.6291153,1.8031055,#1E988A
Абсцесс молочной железы,Болезни молочных желез,2.5959246,4.147461,7.202811,#462F7C
Абсцесс мошонки,Мужские болезни,6.989656,0.5584462,3.9699295,#79D151
Абсцесс мягких тканей,Болезни ОДС и травмы,6.518435,1.4776237,5.0777774,#30678D
Абсцесс носовой перегородки,"Болезни уха, горла, носа",-1.3685267,-0.347589,3.7604237,#208F8C
Абсцесс околочелюстной,Болезни зубов,0.6771517,-0.48493597,6.5823426,#FDE724
Абсцесс печени,Болезни органов пищеварения,8.611665,0.9049013,5.3102484,#404387
Абсцесс поджелудочной железы,Болезни органов пищеварения,8.499843,1.1407706,5.3655124,#404387
Абсцесс полости рта,Болезни зубов,0.56177765,-0.323778,6.462854,#FDE724
Абсцесс предстательной железы,Мужские болезни,11.158723,3.4648182,7.864967,#79D151
Абсцесс селезенки,Болезни органов пищеварения,7.2842402,1.8035692,4.607118,#404387
Абсцесс слюнной железы,Болезни зубов,3.258793,3.6449056,6.2279735,#FDE724
Абсцесс языкa,Болезни зубов,0.51153654,-0.2851466,6.265142,#FDE724
Абузусная головная боль,Нервные болезни,-3.112198,-6.7493134,-12.851832,#440154
Абулия,Психические расстройства,-6.342842,-2.64832,-14.7946,#BADE27
Агалактия,Болезни молочных желез,6.943259,7.4606047,-10.405156,#462F7C
Агаммаглобулинемия,Аллергические болезни,5.6882286,-2.8413851,-8.081969,#53C567
