name,categ,X,Y,color
Hallux valgus,Болезни ОДС и травмы,-8.258432,-13.797862,#2D6F8E
HELLP-синдром,Женские болезни,-3.3692162,6.7473364,#29AF7F
Абдоминальная мигрень,Нервные болезни,-1.438245,-11.2252445,#267F8E
Абиотрофия сетчатки,Глазные болезни,-14.229921,-1.9332075,#79D151
Абсанс,Нервные болезни,-2.937788,-13.120352,#267F8E
Абсцедирующая пневмония,Болезни органов дыхания,7.4627395,-1.5785637,#208F8C
Абсцесс брюшной полости,Болезни органов пищеварения,4.5188937,5.0432725,#345E8D
Абсцесс головного мозга,Нервные болезни,2.5535896,-11.8356905,#267F8E
Абсцесс дугласова пространства,Болезни органов пищеварения,3.867027,4.760323,#345E8D
Абсцесс кишечника,Болезни органов пищеварения,4.7323213,4.36079,#345E8D
Абсцесс кожи,Кожные болезни,-9.706927,-4.288395,#FDE724
Абсцесс легкого,Болезни органов дыхания,5.956105,-1.9405599,#208F8C
Абсцесс молочной железы,Болезни молочных желез,-16.161505,2.052358,#460C5F
Абсцесс мошонки,Мужские болезни,-11.679514,2.1147184,#35B778
Абсцесс мягких тканей,Болезни ОДС и травмы,-3.9130368,-1.0130423,#2D6F8E
Абсцесс носовой перегородки,"Болезни уха, горла, носа",-8.113346,-2.383962,#1E9F88
Абсцесс околочелюстной,Болезни зубов,-15.741098,3.7122931,#22A784
Абсцесс печени,Болезни органов пищеварения,4.2514405,5.073187,#345E8D
Абсцесс поджелудочной железы,Болезни органов пищеварения,3.4998815,4.9176044,#345E8D
Абсцесс полости рта,Болезни зубов,-19.27156,4.9184647,#22A784
Абсцесс предстательной железы,Мужские болезни,-9.2548065,7.241536,#35B778
Абсцесс селезенки,Болезни органов пищеварения,5.197773,3.43487,#345E8D
Абсцесс слюнной железы,Болезни зубов,-16.793165,2.9962552,#22A784
Абсцесс языкa,Болезни зубов,-18.50018,5.2264466,#22A784
Абузусная головная боль,Нервные болезни,-4.198724,-5.9418254,#267F8E
Абулия,Психические расстройства,-1.6764939,-17.348383,#48196B
Агалактия,Болезни молочных желез,-14.614705,5.9024363,#460C5F
Агаммаглобулинемия,Аллергические болезни,-0.1402481,-4.990313,#3D4C89
Агнозия,Нервные болезни,-0.60625696,-12.289871,#267F8E
Агорафобия,Психические расстройства,-2.1339273,-19.280676,#48196B
Агранулоцитарная ангина,"Болезни уха, горла, носа",-7.6033173,-1.5002,#1E9F88
Агранулоцитоз,Болезни крови,-2.8365304,0.13579156,#440154
Агрессивное поведение детей,Детские болезни,-1.8244916,-2.8063798,#443982
Адгезивный средний отит,"Болезни уха, горла, носа",-6.988617,-1.762994,#1E9F88
Аденовирусная инфекция,Инфекционные болезни,0.18671335,1.2580563,#42BE71
Аденовирусный конъюнктивит,Глазные болезни,-14.675551,-1.5589402,#79D151
Аденоз молочной железы,Болезни молочных желез,-17.897545,7.5786386,#460C5F
Аденоидит,"Болезни уха, горла, носа",-5.849739,-3.307311,#1E9F88
Аденоидит у детей,Детские болезни,0.16376127,-5.6742644,#443982
Аденоиды,"Болезни уха, горла, носа",-8.219301,-3.2671263,#1E9F88
Аденоиды у детей,Детские болезни,-0.73593163,-3.9219024,#443982
Аденокарцинома желудка,Онкологические болезни,-7.3444405,3.2283747,#404387
Аденокарцинома легкого,Онкологические болезни,-7.4177947,4.307796,#404387
Аденокарцинома матки,Женские болезни,-8.257008,9.979507,#29AF7F
Аденокарцинома почки,Онкологические болезни,-7.6522055,4.0894194,#404387
Аденокарцинома толстой кишки,Онкологические болезни,-7.20775,3.8203413,#404387
Аденома бронха,Онкологические болезни,-6.1544333,3.2678998,#404387
Аденома гипофиза,Нервные болезни,-4.7612805,-1.3105081,#267F8E
Аденома молочной железы,Онкологические болезни,-8.389998,4.0045743,#404387
Аденома паращитовидных желез,Онкологические болезни,-8.822407,2.9735203,#404387
Аденома предстательной железы,Онкологические болезни,-8.676211,2.962185,#404387
Аденома щитовидной железы,Онкологические болезни,-6.601679,3.084368,#404387
Аденомиоз,Женские болезни,-9.378067,10.0734,#29AF7F
Аденофлегмона,Болезни вен и лимфоузлов,-11.710609,-0.3699789,#38568B
Адентия,Болезни зубов,-19.713757,3.8676107,#22A784
Адипозогенитальная дистрофия,Эндокринные болезни,-4.114234,2.4622066,#53C567
Аднексит,Женские болезни,-9.421125,9.552156,#29AF7F
Адреногенитальный синдром,Женские болезни,-8.167846,9.132875,#29AF7F
Азиатский разрез глаз,Эстетические проблемы,-19.134365,-9.119706,#A5DA35
Азооспермия,Мужские болезни,-12.193587,4.2428765,#35B778
Акалькулия,Нервные болезни,-2.1459563,-9.667735,#267F8E
Акантамебиаз,Инфекционные болезни,-10.899127,-0.5875704,#42BE71
Акантамёбный кератит,Глазные болезни,-15.047842,-2.4845335,#79D151
Акне,Кожные болезни,-11.154514,-8.566424,#FDE724
Акрогерия семейная ,Кожные болезни,-11.863364,-7.5275135,#FDE724
Акродерматит,Кожные болезни,-11.735395,-9.5546255,#FDE724
Акродерматит Аллопо,Кожные болезни,-12.461811,-7.3994446,#FDE724
Акромегалия,Эндокринные болезни,-4.1360083,1.7073874,#53C567
Актинический дерматит,Кожные болезни,-12.54818,-7.046736,#FDE724
Актинический кератоз,Кожные болезни,-10.586424,-7.602804,#FDE724
Актинический хейлит,Болезни зубов,-16.78617,0.97493434,#22A784
Актиномикоз,Кожные болезни,-11.291452,0.5758183,#FDE724
Актиномикоз молочных желез,Болезни молочных желез,-19.07614,0.25711656,#460C5F
Акустико-гностическая афазия,Нарушения речи,5.1739893,-12.12322,#BADE27
Акустико-мнестическая афазия,Нарушения речи,5.081889,-11.714724,#BADE27
Акустическая травма,"Болезни уха, горла, носа",-6.672718,-3.1350012,#1E9F88
Акушерские параличи,Детские болезни,-0.20750754,-4.46919,#443982
Акушерский перитонит,Женские болезни,-7.1552057,8.216351,#29AF7F
Алалия,Нарушения речи,5.236758,-12.93074,#BADE27
Алиментарная дистрофия,Болезни органов пищеварения,3.0056064,4.0472136,#345E8D
Алкаптонурия,Ревматические болезни,-5.6062975,-5.7057943,#30678D
Алкоголизм,Наркологические проблемы,-5.320792,-24.408003,#64CB5D
Алкогольная болезнь печени,Болезни органов пищеварения,4.2310305,4.7925687,#345E8D
Алкогольная депрессия,Наркологические проблемы,-7.1155615,-20.34639,#64CB5D
Алкогольная нефропатия,Урологические болезни,-2.886298,9.132149,#E7E419
Алкогольная полиневропатия,Наркологические проблемы,-7.3411627,-19.762705,#64CB5D
Алкогольная энцефалопатия,Наркологические проблемы,-6.7472663,-20.32797,#64CB5D
Алкогольная эпилепсия,Наркологические проблемы,-8.832479,-22.956974,#64CB5D
Алкогольный абстинентный синдром,Наркологические проблемы,-6.9669194,-19.928972,#64CB5D
Алкогольный бред ревности,Наркологические проблемы,-7.052783,-19.923433,#64CB5D
Алкогольный галлюциноз,Наркологические проблемы,-8.815365,-19.043915,#64CB5D
Алкогольный гепатит,Болезни органов пищеварения,6.737912,4.1096587,#345E8D
Алкогольный делирий,Наркологические проблемы,-7.856434,-19.893549,#64CB5D
Алкогольный панкреатит,Болезни органов пищеварения,3.9343863,5.0175223,#345E8D
Алкогольный цирроз печени,Болезни органов пищеварения,3.0842745,4.604746,#345E8D
Аллергическая крапивница,Аллергические болезни,-11.322543,-9.520616,#3D4C89
Аллергическая риносинусопатия,Аллергические болезни,-10.190811,-7.874786,#3D4C89
Аллергическая энтеропатия,Аллергические болезни,-9.033655,-6.9969893,#3D4C89
Аллергический  риноконъюнктивит ,Аллергические болезни,-7.828123,-6.8430815,#3D4C89
Аллергический альвеолит,Аллергические болезни,-5.2332706,-1.919513,#3D4C89
Аллергический бронхолёгочный аспергиллёз,Аллергические болезни,-7.433638,-8.091942,#3D4C89
Аллергический васкулит,Аллергические болезни,-11.056038,-9.584992,#3D4C89
Аллергический гастрит,Аллергические болезни,-7.1144166,-8.029707,#3D4C89
Аллергический кератит,Аллергические болезни,-10.057273,-6.3880944,#3D4C89
Аллергический контактный дерматит,Аллергические болезни,-11.386361,-10.380138,#3D4C89
Аллергический конъюнктивит,Аллергические болезни,-8.618485,-6.769943,#3D4C89
