name,categ,X,Y,Z,color
Hallux valgus,Болезни ОДС и травмы,-5.0771327,-5.7574677,-0.8271549,#443982
HELLP-синдром,Женские болезни,3.6815686,-12.854797,-3.7084153,#460C5F
Абдоминальная мигрень,Нервные болезни,0.273175,-3.3644793,6.7665105,#BADE27
Абиотрофия сетчатки,Глазные болезни,6.1428175,-2.5107286,5.7231584,#462F7C
Абсанс,Нервные болезни,-1.4278163,-1.204047,6.8594656,#BADE27
Абсцедирующая пневмония,Болезни органов дыхания,-3.3479643,-10.056408,3.3647363,#29788E
Абсцесс брюшной полости,Болезни органов пищеварения,1.313072,-13.90102,-0.48175347,#267F8E
Абсцесс головного мозга,Нервные болезни,-0.10369944,-0.3112846,8.234449,#BADE27
Абсцесс дугласова пространства,Болезни органов пищеварения,3.421012,-13.1435175,0.6029496,#267F8E
Абсцесс кишечника,Болезни органов пищеварения,2.2310002,-13.2276745,1.0604419,#267F8E
Абсцесс кожи,Кожные болезни,10.826149,-8.582773,7.1547356,#30678D
Абсцесс легкого,Болезни органов дыхания,-2.725826,-10.149349,1.9829502,#29788E
Абсцесс молочной железы,Болезни молочных желез,4.1746025,-8.846785,-3.1071649,#E7E419
Абсцесс мошонки,Мужские болезни,8.194758,-16.52516,-3.040623,#42BE71
Абсцесс мягких тканей,Болезни ОДС и травмы,-3.1337764,-5.7228823,1.4853497,#443982
Абсцесс носовой перегородки,"Болезни уха, горла, носа",1.9516928,-4.3649683,0.15780301,#FDE724
Абсцесс околочелюстной,Болезни зубов,6.939956,-9.357399,0.08585764,#2D6F8E
Абсцесс печени,Болезни органов пищеварения,2.2387185,-13.4693165,-0.022402754,#267F8E
Абсцесс поджелудочной железы,Болезни органов пищеварения,2.6008346,-12.735443,-0.6682006,#267F8E
Абсцесс полости рта,Болезни зубов,7.22865,-8.933449,-0.054591887,#2D6F8E
Абсцесс предстательной железы,Мужские болезни,6.7692957,-15.944038,-3.3398347,#42BE71
Абсцесс селезенки,Болезни органов пищеварения,1.3111312,-13.847784,1.3927008,#267F8E
Абсцесс слюнной железы,Болезни зубов,7.693924,-8.741545,-0.2124996,#2D6F8E
Абсцесс языкa,Болезни зубов,7.118622,-11.031258,-1.5299523,#2D6F8E
Абузусная головная боль,Нервные болезни,-6.635352,-2.665313,4.07744,#BADE27
Абулия,Психические расстройства,-4.065015,-4.109366,6.6888857,#29AF7F
Агалактия,Болезни молочных желез,3.9642694,-7.636192,-3.0315225,#E7E419
Агаммаглобулинемия,Аллергические болезни,1.089545,-6.1325917,5.623043,#345E8D
Агнозия,Нервные болезни,0.1724713,-1.1067891,6.7182364,#BADE27
Агорафобия,Психические расстройства,-4.371506,-3.5555017,9.432648,#29AF7F
Агранулоцитарная ангина,"Болезни уха, горла, носа",1.6173587,-7.52877,0.5500374,#FDE724
Агранулоцитоз,Болезни крови,2.0119853,-10.376417,1.8504283,#482374
Агрессивное поведение детей,Детские болезни,0.59154844,-5.378758,5.7460985,#64CB5D
Адгезивный средний отит,"Болезни уха, горла, носа",3.107754,-5.548611,-0.5637931,#FDE724
Аденовирусная инфекция,Инфекционные болезни,5.2006264,-10.075548,4.716893,#440154
Аденовирусный конъюнктивит,Глазные болезни,7.048957,-2.6033251,5.334294,#462F7C
Аденоз молочной железы,Болезни молочных желез,4.2824664,-8.618411,-3.7920065,#E7E419
Аденоидит,"Болезни уха, горла, носа",0.6857767,-6.35661,-0.5843662,#FDE724
Аденоидит у детей,Детские болезни,2.04259,-4.9350405,5.106832,#64CB5D
Аденоиды,"Болезни уха, горла, носа",0.4296596,-5.2779913,1.4279044,#FDE724
Аденоиды у детей,Детские болезни,1.318023,-5.748777,5.039627,#64CB5D
Аденокарцинома желудка,Онкологические болезни,-2.0239313,-11.296724,-4.5060196,#D2E11B
Аденокарцинома легкого,Онкологические болезни,-2.7645562,-13.042566,-5.5847006,#D2E11B
Аденокарцинома матки,Женские болезни,4.932559,-13.335896,-5.766081,#460C5F
Аденокарцинома почки,Онкологические болезни,-1.7383342,-11.663585,-4.817297,#D2E11B
Аденокарцинома толстой кишки,Онкологические болезни,-3.0181806,-11.70335,-4.4129086,#D2E11B
Аденома бронха,Онкологические болезни,-2.9560058,-11.021645,-4.310065,#D2E11B
Аденома гипофиза,Нервные болезни,-0.7213907,-5.084629,0.25615156,#BADE27
Аденома молочной железы,Онкологические болезни,-2.5536537,-11.759529,-5.3831706,#D2E11B
Аденома паращитовидных желез,Онкологические болезни,-2.7007492,-9.836483,-4.558258,#D2E11B
Аденома предстательной железы,Онкологические болезни,-2.5159829,-11.620993,-4.573265,#D2E11B
Аденома щитовидной железы,Онкологические болезни,-2.6753263,-10.980091,-4.8603764,#D2E11B
Аденомиоз,Женские болезни,5.1798906,-13.5325575,-5.8601995,#460C5F
Аденофлегмона,Болезни вен и лимфоузлов,-1.6905162,-11.703524,-1.6968312,#38568B
Адентия,Болезни зубов,9.392523,-11.117737,-0.9855509,#2D6F8E
Адипозогенитальная дистрофия,Эндокринные болезни,-1.3377936,-8.041096,-2.685105,#8DD644
Аднексит,Женские болезни,4.3735943,-11.9851465,-5.0719576,#460C5F
Адреногенитальный синдром,Женские болезни,4.5339894,-13.827793,-4.548186,#460C5F
Азиатский разрез глаз,Эстетические проблемы,8.156619,-4.350636,1.4497589,#35B778
Азооспермия,Мужские болезни,8.824364,-16.47624,-3.903362,#42BE71
Акалькулия,Нервные болезни,1.4431188,0.16508053,7.7462196,#BADE27
Акантамебиаз,Инфекционные болезни,6.796802,-5.849248,4.113355,#440154
Акантамёбный кератит,Глазные болезни,6.46469,-1.6092446,4.842161,#462F7C
Акне,Кожные болезни,8.085475,-7.2336245,4.9673805,#30678D
Акрогерия семейная ,Кожные болезни,8.813124,-6.1975837,6.5991964,#30678D
Акродерматит,Кожные болезни,9.855498,-7.4800467,5.8224688,#30678D
Акродерматит Аллопо,Кожные болезни,9.616235,-6.4652414,6.5123334,#30678D
Акромегалия,Эндокринные болезни,-1.1409605,-8.021461,-2.92788,#8DD644
Актинический дерматит,Кожные болезни,9.354228,-7.0893645,6.556524,#30678D
Актинический кератоз,Кожные болезни,7.8920903,-7.2403226,6.4718885,#30678D
Актинический хейлит,Болезни зубов,8.899744,-10.112749,2.3412142,#2D6F8E
Актиномикоз,Кожные болезни,5.120278,-10.033016,1.755812,#30678D
Актиномикоз молочных желез,Болезни молочных желез,3.8849845,-8.255936,-1.3914741,#E7E419
Акустико-гностическая афазия,Нарушения речи,4.8034363,0.9464885,8.315353,#3D4C89
Акустико-мнестическая афазия,Нарушения речи,2.8912334,1.0211093,9.129497,#3D4C89
Акустическая травма,"Болезни уха, горла, носа",1.1932733,-6.024041,0.12526883,#FDE724
